```csv
OrderID,OrderDate,Region,SalesPerson,Product,Category,UnitsSold,UnitPrice,TotalAmount,PaymentMethod
1001,2025-01-05,North,Alice,Laptop,Electronics,2,750,1500,Credit Card
1002,2025-01-07,South,Bob,Mouse,Accessories,10,25,250,Cash
1003,2025-01-10,East,Charlie,Keyboard,Accessories,5,45,225,UPI
1004,2025-01-12,West,Diana,Monitor,Electronics,3,220,660,Credit Card
1005,2025-01-15,North,Ethan,Printer,Office,2,180,360,Debit Card
1006,2025-01-18,South,Fiona,Desk Chair,Furniture,4,140,560,Cash
1007,2025-01-20,East,George,Laptop,Electronics,1,750,750,Credit Card
1008,2025-01-22,West,Hannah,Notebook,Office,20,5,100,UPI
1009,2025-01-25,North,Ian,Monitor,Electronics,2,220,440,Debit Card
1010,2025-01-28,South,Julia,Desk,Furniture,1,300,300,Credit Card
1011,2025-02-02,East,Kevin,Mouse,Accessories,15,25,375,Cash
1012,2025-02-05,West,Lisa,Laptop,Electronics,2,750,1500,Credit Card
1013,2025-02-08,North,Michael,Keyboard,Accessories,8,45,360,UPI
1014,2025-02-12,South,Nancy,Printer,Office,1,180,180,Debit Card
1015,2025-02-15,East,Oliver,Desk,Furniture,2,300,600,Credit Card
```
