employee_id,name,department,city,age,salary,joining_date,experience_years,bonus_percent
101,Karthik,Engineering,Hyderabad,24,65000,2023-06-15,2,10
102,Rahul,Sales,Chennai,26,52000,2022-03-10,4,8
103,Ananya,HR,Bangalore,25,48000,2021-11-05,5,7
104,Sneha,Engineering,Hyderabad,23,61000,2024-01-20,1,10
105,Arjun,Finance,Mumbai,29,70000,2020-09-18,6,12
106,Meera,Sales,Delhi,27,54000,2022-07-11,3,8
107,Vikram,Engineering,Pune,28,68000,2021-04-25,5,11
108,Pooja,HR,Chennai,24,46000,2023-08-30,2,6
109,Akhil,Finance,Hyderabad,30,75000,2019-12-12,7,12
110,Divya,Sales,Bangalore,25,50000,2024-02-14,1,7
111,Naveen,Engineering,Delhi,26,64000,2022-10-01,3,9
112,Keerthi,HR,Hyderabad,28,49000,2021-06-21,4,7
